TAIUTC       26     UNIT(DAY, SEC)   FORMAT(I2,1X,A3,I3,4X,F20.12,3X,F10.6)
800314    2444312.500000000000      .467703    .04302   .17922
800315    2444313.500000000000      .465047    .04132   .17932
800316    2444314.500000000000      .462171    .03962   .17952
800317    2444315.500000000000      .459108    .03782   .17982
800318    2444316.500000000000      .455965    .03602   .18012
800319    2444317.500000000000      .452855    .03422   .18042
800320    2444318.500000000000      .449873    .03232   .18072
800321    2444319.500000000000      .447051    .03042   .18112
800322    2444320.500000000000      .444391    .02852   .18162
800323    2444321.500000000000      .441831    .02672   .18202
800324    2444322.500000000000      .439347    .02482   .18252
800325    2444323.500000000000      .436859    .02302   .18302
800326    2444324.500000000000      .434338    .02132   .18352
800327    2444325.500000000000      .431743    .01952   .18412
800328    2444326.500000000000      .429071    .01792   .18462
800329    2444327.500000000000      .426323    .01622   .18522
800330    2444328.500000000000      .423513    .01462   .18582
800331    2444329.500000000000      .420664    .01302   .18652
800401    2444330.500000000000      .417807    .01142   .18712
800402    2444331.500000000000      .414971    .00982   .18782
800403    2444332.500000000000      .412194    .00823   .18843
800404    2444333.500000000000      .409500    .00663   .18913
800405    2444334.500000000000      .406905    .00503   .18993
800406    2444335.500000000000      .404421    .00343   .19063
800407    2444336.500000000000      .402012    .00173   .19133
800408    2444337.500000000000      .399625    .00003   .19213
800409    2444338.500000000000      .397220   -.00167   .19283
800410    2444339.500000000000      .394713   -.00337   .19363
800411    2444340.500000000000      .392062   -.00517   .19443
800412    2444341.500000000000      .389223   -.00697   .19523
800413    2444342.500000000000      .386214   -.00887   .19613
800414    2444343.500000000000      .383109   -.01067   .19693
800415    2444344.500000000000      .379987   -.01247   .19773
800416    2444345.500000000000      .376947   -.01437   .19863
800417    2444346.500000000000      .374043   -.01627   .19953
800418    2444347.500000000000      .371326   -.01807   .20033
800419    2444348.500000000000      .368757   -.01997   .20123
800420    2444349.500000000000      .366304   -.02177   .20213
800421    2444350.500000000000      .363894   -.02357   .20313
800422    2444351.500000000000      .361464   -.02527   .20403
800423    2444352.500000000000      .358980   -.02707   .20503
800424    2444353.500000000000      .356431   -.02867   .20603
800425    2444354.500000000000      .353816   -.03027   .20703
800426    2444355.500000000000      .351138   -.03187   .20803
800427    2444356.500000000000      .348423   -.03327   .20913
800428    2444357.500000000000      .345704   -.03467   .21023
800429    2444358.500000000000      .343029   -.03597   .21133
800430    2444359.500000000000      .340438   -.03717   .21243
800501    2444360.500000000000      .337932   -.03837   .21363
800502    2444361.500000000000      .335528   -.03937   .21483
800503    2444362.500000000000      .333207   -.04047   .21593
800504    2444363.500000000000      .330956   -.04137   .21713
800505    2444364.500000000000      .328731   -.04227   .21823
800506    2444365.500000000000      .326490   -.04307   .21933
800507    2444366.500000000000      .324170   -.04387   .22053
800508    2444367.500000000000      .321727   -.04457   .22163
800509    2444368.500000000000      .319121   -.04526   .22274
800510    2444369.500000000000      .316337   -.04606   .22384
800511    2444370.500000000000      .313425   -.04676   .22504
800512    2444371.500000000000      .310451   -.04746   .22604
800513    2444372.500000000000      .307514   -.04816   .22714
800514    2444373.500000000000      .304701   -.04876   .22824
800515    2444374.500000000000      .302065   -.04936   .22934
800516    2444375.500000000000      .299599   -.04986   .23044
800517    2444376.500000000000      .297268   -.05036   .23144
800518    2444377.500000000000      .295025   -.05086   .23254
800519    2444378.500000000000      .292818   -.05126   .23354
800520    2444379.500000000000      .290594   -.05156   .23464
800521    2444380.500000000000      .288328   -.05196   .23564
800522    2444381.500000000000      .286000   -.05226   .23664
800523    2444382.500000000000      .283620   -.05256   .23764
800524    2444383.500000000000      .281210   -.05286   .23864
800525    2444384.500000000000      .278818   -.05306   .23964
800526    2444385.500000000000      .276466   -.05326   .24064
800527    2444386.500000000000      .274197   -.05346   .24164
800528    2444387.500000000000      .272027   -.05366   .24264
800529    2444388.500000000000      .269964   -.05386   .24374
800530    2444389.500000000000      .268011   -.05406   .24474
800531    2444390.500000000000      .266161   -.05426   .24574
800601    2444391.500000000000      .264393   -.05446   .24674
800602    2444392.500000000000      .262637   -.05456   .24774
800603    2444393.500000000000      .260849   -.05476   .24884
800604    2444394.500000000000      .258970   -.05486   .24984
800605    2444395.500000000000      .256968   -.05496   .25084
800606    2444396.500000000000      .254830   -.05516   .25184
800607    2444397.500000000000      .252569   -.05526   .25274
800608    2444398.500000000000      .250254   -.05536   .25374
800609    2444399.500000000000      .247922   -.05546   .25474
800610    2444400.500000000000      .245643   -.05556   .25564
800611    2444401.500000000000      .243486   -.05566   .25664
800612    2444402.500000000000      .241487   -.05586   .25764
800613    2444403.500000000000      .239624   -.05596   .25854
800614    2444404.500000000000      .237844   -.05596   .25954
800615    2444405.500000000000      .236097   -.05605   .26055
800616    2444406.500000000000      .234322   -.05615   .26165
800617    2444407.500000000000      .232502   -.05625   .26265
800618    2444408.500000000000      .230623   -.05625   .26375
800619    2444409.500000000000      .228678   -.05635   .26485
800620    2444410.500000000000      .226698   -.05635   .26605
800621    2444411.500000000000      .224693   -.05625   .26715
800622    2444412.500000000000      .222700   -.05625   .26835
800623    2444413.500000000000      .220744   -.05615   .26955
800624    2444414.500000000000      .218859   -.05595   .27085
800625    2444415.500000000000      .217044   -.05575   .27205
800626    2444416.500000000000      .215326   -.05555   .27335
800627    2444417.500000000000      .213710   -.05525   .27465
800628    2444418.500000000000      .212165   -.05495   .27595
800629    2444419.500000000000      .210657   -.05455   .27735
800630    2444420.500000000000      .209132   -.05405   .27865
800701    2444421.500000000000      .207533   -.05355   .28005
800702    2444422.500000000000      .205825   -.05305   .28135
800703    2444423.500000000000      .203980   -.05245   .28275
800704    2444424.500000000000      .202039   -.05175   .28405
800705    2444425.500000000000      .200049   -.05105   .28535
800706    2444426.500000000000      .198064   -.05035   .28655
800707    2444427.500000000000      .196160   -.04955   .28785
800708    2444428.500000000000      .194384   -.04875   .28905
800709    2444429.500000000000      .192744   -.04795   .29025
800710    2444430.500000000000      .191230   -.04705   .29145
800711    2444431.500000000000      .189826   -.04625   .29255
800712    2444432.500000000000      .188458   -.04545   .29365
800713    2444433.500000000000      .187079   -.04465   .29465
800714    2444434.500000000000      .185663   -.04385   .29575
800715    2444435.500000000000      .184165   -.04315   .29685
800716    2444436.500000000000      .182600   -.04255   .29785
800717    2444437.500000000000      .180965   -.04195   .29895
800718    2444438.500000000000      .179280   -.04155   .29995
800719    2444439.500000000000      .177567   -.04105   .30095
800720    2444440.500000000000      .175858   -.04065   .30205
800721    2444441.500000000000      .174175   -.04024   .30296
800722    2444442.500000000000      .172548   -.03994   .30396
800723    2444443.500000000000      .170983   -.03964   .30486
800724    2444444.500000000000      .169468   -.03944   .30576
800725    2444445.500000000000      .167989   -.03914   .30666
800726    2444446.500000000000      .166527   -.03894   .30746
800727    2444447.500000000000      .165014   -.03864   .30826
800728    2444448.500000000000      .163406   -.03844   .30896
800729    2444449.500000000000      .161653   -.03824   .30966
800730    2444450.500000000000      .159756   -.03804   .31026
800731    2444451.500000000000      .157742   -.03784   .31096
800801    2444452.500000000000      .155670   -.03764   .31156
800802    2444453.500000000000      .153626   -.03744   .31206
800803    2444454.500000000000      .151690   -.03724   .31266
800804    2444455.500000000000      .149913   -.03704   .31316
800805    2444456.500000000000      .148313   -.03684   .31376
800806    2444457.500000000000      .146867   -.03664   .31426
800807    2444458.500000000000      .145555   -.03644   .31486
800808    2444459.500000000000      .144279   -.03624   .31546
800809    2444460.500000000000      .143009   -.03604   .31606
800810    2444461.500000000000      .141676   -.03574   .31666
800811    2444462.500000000000      .140270   -.03554   .31736
800812    2444463.500000000000      .138776   -.03524   .31806
800813    2444464.500000000000      .137186   -.03494   .31876
800814    2444465.500000000000      .135518   -.03464   .31946
800815    2444466.500000000000      .133787   -.03424   .32026
800816    2444467.500000000000      .132032   -.03384   .32116
800817    2444468.500000000000      .130270   -.03344   .32196
800818    2444469.500000000000      .128544   -.03314   .32286
800819    2444470.500000000000      .126841   -.03274   .32366
800820    2444471.500000000000      .125172   -.03244   .32456
800821    2444472.500000000000      .123501   -.03224   .32536
800822    2444473.500000000000      .121828   -.03214   .32616
800823    2444474.500000000000      .120097   -.03194   .32696
800824    2444475.500000000000      .118253   -.03184   .32776
800825    2444476.500000000000      .116252   -.03184   .32846
800826    2444477.500000000000      .114039   -.03174   .32916
800827    2444478.500000000000      .111641   -.03183   .32977
800828    2444479.500000000000      .109105   -.03193   .33027
800829    2444480.500000000000      .106524   -.03203   .33087
800830    2444481.500000000000      .104011   -.03213   .33137
800831    2444482.500000000000      .101630   -.03233   .33177
800901    2444483.500000000000      .099435   -.03243   .33227
800902    2444484.500000000000      .097407   -.03253   .33267
800903    2444485.500000000000      .095517   -.03253   .33307
800904    2444486.500000000000      .093700   -.03263   .33347
800905    2444487.500000000000      .091883   -.03263   .33387
800906    2444488.500000000000      .090016   -.03263   .33437
800907    2444489.500000000000      .088054   -.03253   .33477
800908    2444490.500000000000      .085991   -.03233   .33517
800909    2444491.500000000000      .083816   -.03213   .33557
800910    2444492.500000000000      .081558   -.03193   .33607
800911    2444493.500000000000      .079240   -.03173   .33647
800912    2444494.500000000000      .076882   -.03143   .33687
800913    2444495.500000000000      .074519   -.03113   .33727
800914    2444496.500000000000      .072172   -.03083   .33777
800915    2444497.500000000000      .069883   -.03053   .33817
800916    2444498.500000000000      .067655   -.03023   .33857
800917    2444499.500000000000      .065464   -.02983   .33907
800918    2444500.500000000000      .063317   -.02953   .33947
800919    2444501.500000000000      .061160   -.02913   .33987
800920    2444502.500000000000      .058961   -.02873   .34037
800921    2444503.500000000000      .056648   -.02843   .34077
800922    2444504.500000000000      .054187   -.02803   .34117
800923    2444505.500000000000      .051524   -.02763   .34157
800924    2444506.500000000000      .048693   -.02723   .34207
800925    2444507.500000000000      .045755   -.02683   .34247
800926    2444508.500000000000      .042801   -.02633   .34297
